conv,1073741824,1,8,8,0,1,1,1,1,0,8,8,7,2,53046.000000
conv,1073741824,1,8,8,0,1,1,1,7,0,8,8,7,2,3113.399902
conv,1073741824,1,8,8,0,1,2,1,1,0,8,8,7,2,45246.699219
conv,1073741824,1,8,8,0,1,2,1,7,0,8,8,7,2,2337.300049
conv,1073741824,1,8,8,0,1,4,1,1,0,8,8,7,2,44112.500000
conv,1073741824,1,8,8,0,1,4,1,7,0,8,8,7,2,1957.400024
conv,1073741824,1,8,8,0,1,8,1,1,0,8,8,7,2,41592.101563
conv,1073741824,1,8,8,0,1,8,1,7,0,8,8,7,2,1615.099976
conv,1073741824,1,8,8,0,2,1,1,1,0,8,8,7,2,49556.601563
conv,1073741824,1,8,8,0,2,1,1,7,0,8,8,7,2,3335.500000
conv,1073741824,1,8,8,0,2,1,2,1,0,8,8,7,2,47351.898438
conv,1073741824,1,8,8,0,2,1,2,7,0,8,8,7,2,3301.899902
conv,1073741824,1,8,8,0,2,2,1,1,0,8,8,7,2,42775.101563
conv,1073741824,1,8,8,0,2,2,1,7,0,8,8,7,2,2313.100098
conv,1073741824,1,8,8,0,2,2,2,1,0,8,8,7,2,42662.300781
conv,1073741824,1,8,8,0,2,2,2,7,0,8,8,7,2,2207.899902
conv,1073741824,1,8,8,0,2,4,1,1,0,8,8,7,2,42934.000000
conv,1073741824,1,8,8,0,2,4,1,7,0,8,8,7,2,1978.900024
conv,1073741824,1,8,8,0,2,4,2,1,0,8,8,7,2,42934.000000
conv,1073741824,1,8,8,0,2,4,2,7,0,8,8,7,2,1945.900024
conv,1073741824,1,8,8,0,2,8,1,1,0,8,8,7,2,41592.101563
conv,1073741824,1,8,8,0,2,8,1,7,0,8,8,7,2,1726.500000
conv,1073741824,1,8,8,0,2,8,2,1,0,8,8,7,2,41592.101563
conv,1073741824,1,8,8,0,2,8,2,7,0,8,8,7,2,1672.400024
conv,1073741824,1,8,8,0,4,1,1,1,0,8,8,7,2,49556.601563
conv,1073741824,1,8,8,0,4,1,1,7,0,8,8,7,2,2796.100098
conv,1073741824,1,8,8,0,4,1,2,1,0,8,8,7,2,47506.800781
conv,1073741824,1,8,8,0,4,1,2,7,0,8,8,7,2,2769.199951
conv,1073741824,1,8,8,0,4,1,4,1,0,8,8,7,2,47506.800781
