reduction,1073741824,32,32,0,24,1,1,7,2,16454.300781
reduction,536870912,32,32,0,24,2,1,7,2,16454.300781
reduction,268435456,32,32,0,24,4,1,7,2,16454.300781
reduction,134217728,32,32,0,24,8,1,7,2,16454.300781
reduction,67108864,32,32,0,24,16,1,7,2,16454.300781
reduction,1073741824,32,32,0,48,1,1,7,2,20014.900391
reduction,536870912,32,32,0,48,2,1,7,2,20014.900391
reduction,268435456,32,32,0,48,4,1,7,2,20014.900391
reduction,134217728,32,32,0,48,8,1,7,2,20014.900391
reduction,67108864,32,32,0,48,16,1,7,2,20014.900391
reduction,1073741824,32,32,0,96,1,1,7,2,16706.000000
reduction,536870912,32,32,0,96,2,1,7,2,16706.000000
reduction,268435456,32,32,0,96,4,1,7,2,16706.000000
reduction,134217728,32,32,0,96,8,1,7,2,16706.000000
reduction,67108864,32,32,0,96,16,1,7,2,16706.000000
reduction,1073741824,32,32,0,192,1,1,7,2,9428.900391
reduction,536870912,32,32,0,192,2,1,7,2,8743.700195
reduction,268435456,32,32,0,192,4,1,7,2,8243.799805
reduction,134217728,32,32,0,192,8,1,7,2,8243.799805
reduction,67108864,32,32,0,192,16,1,7,2,8243.799805
reduction,1073741824,32,32,0,384,1,1,7,2,6109.700195
reduction,536870912,32,32,0,384,2,1,7,2,5081.899902
reduction,268435456,32,32,0,384,4,1,7,2,4578.700195
reduction,134217728,32,32,0,384,8,1,7,2,4578.700195
reduction,67108864,32,32,0,384,16,1,7,2,4578.700195
reduction,1073741824,32,32,1,0,1,0,7,2,10348.799805
reduction,1073741824,32,32,1,0,1,1,7,2,79909.601563
reduction,536870912,32,32,1,0,2,0,7,2,9794.299805
reduction,536870912,32,32,1,0,2,1,7,2,79585.296875
reduction,268435456,32,32,1,0,4,0,7,2,9794.299805
reduction,268435456,32,32,1,0,4,1,7,2,65722.898438
reduction,134217728,32,32,1,0,8,0,7,2,9794.299805
reduction,134217728,32,32,1,0,8,1,7,2,76108.898438
reduction,67108864,32,32,1,0,16,0,7,2,9794.299805
reduction,67108864,32,32,1,0,16,1,7,2,77543.500000
reduction,1073741824,64,64,0,24,1,1,7,2,11050.400391
reduction,536870912,64,64,0,24,2,1,7,2,11050.400391
reduction,268435456,64,64,0,24,4,1,7,2,11050.400391
reduction,134217728,64,64,0,24,8,1,7,2,11050.400391
reduction,67108864,64,64,0,24,16,1,7,2,11050.400391
reduction,1073741824,64,64,0,48,1,1,7,2,12695.200195
reduction,536870912,64,64,0,48,2,1,7,2,12695.200195
reduction,268435456,64,64,0,48,4,1,7,2,12695.200195
reduction,134217728,64,64,0,48,8,1,7,2,12695.200195
reduction,67108864,64,64,0,48,16,1,7,2,12695.200195
reduction,1073741824,64,64,0,96,1,1,7,2,9304.700195
reduction,536870912,64,64,0,96,2,1,7,2,9304.700195
reduction,268435456,64,64,0,96,4,1,7,2,9304.700195
reduction,134217728,64,64,0,96,8,1,7,2,9304.700195
reduction,67108864,64,64,0,96,16,1,7,2,9304.700195
reduction,1073741824,64,64,0,192,1,1,7,2,2807.899902
reduction,536870912,64,64,0,192,2,1,7,2,2309.100098
reduction,268435456,64,64,0,192,4,1,7,2,2022.300049
reduction,134217728,64,64,0,192,8,1,7,2,2022.300049
